"hgnc_symbol","chromosome_name","start_position","end_position"
"","X",115472877,115509419
"","X",84857352,84876373
"","15",85208477,85209871
"","X",84871522,84881816
"","X",153225628,153230357
"","10",102868421,102868519
"RPL22P17","10",102887874,102888188
"SLC29A3","10",71319259,71381423
"LINC00269","X",69179553,69209924
"CSPG4P12","15",85191438,85202009
"","X",47076774,47129941
"ADAMTS7P4","15",85255369,85270892
"RNU6-823P","HSCHR3_9_CTG2_1",11106,11208
"EEFSEC","HSCHR3_9_CTG2_1",22577,277765
"DNM1P47","15",101751553,101764961
"GOLGA2P11","15",62253730,62270680
"YTHDF3P1","HSCHR3_4_CTG2_1",46622,47533
"","HSCHR3_4_CTG2_1",90568,90923
"RPS24P9","HSCHR3_4_CTG2_1",135412,136191
"","HSCHR3_4_CTG2_1",59049,59945
"","X",83507696,83510775
"DNM1P34","15",75301642,75302664
"KCNIP4","HSCHR4_1_CTG4",23024,215948
"MYLKP2","HSCHR3_4_CTG2_1",37857,38759
"","X",47129237,47139794
"","15",74162340,74162620
"","HSCHR3_4_CTG2_1",68808,69690
"SPIC","12",101475336,101486997
"RPL31P25","HSCHR4_1_CTG4",142348,142705
"CCDC33","15",74202705,74336472
"","HSCHR3_4_CTG2_1",81617,82540
"","HSCHR4_1_CTG4",60772,99558
"","X",140017187,140018049
"","HSCHR3_9_CTG2_1",50508,63551
"","HSCHR4_1_CTG4",183286,204862
"","X",69104950,69145013
"SNRPGP20","12",79989014,79989218
"HLA-DQA2","6",32741391,32747198
"PPP1R12A-AS2","12",79690144,79778451
"","10",70929925,70935696
"MIR936","10",104048089,104048186
"ACSM6","10",95194200,95228929
"PPFIA2-AS2","12",81378042,81556637
"COX6B1P5","4",2234251,2234499
"NDUFA3","HSCHR19LRC_PGF1_CTG3_1",77273,81393
"MIR4800","4",2250077,2250156
"","X",144202658,144203072
"PPEF1-AS1","X",18688634,18692701
"DUX4L52","12",61600067,61600843
"ZFYVE28","4",2269582,2418651
"OSCAR","HSCHR19LRC_PGF1_CTG3_1",69048,77107
"","12",75020969,75044793
"MIR3135B","6",32749912,32749979
"","6",32813767,32838822
"PTCHD1-AS","X",22162728,23333685
"NSA2P2","12",94521090,94521869
"","12",79818784,79819465
"ALX1","12",85280220,85301784
"PSMB8-AS1","6",32844078,32846500
"","10",48878022,48878649
"","10",48883955,48935213
"","10",48976554,48993046
"","15",74299503,74304527
"","15",74303005,74304343
"","10",48984564,49018897
"","X",123187629,123514592
"MIR4294","10",48985512,48985587
"FAM170B","10",49131154,49134021
"SEMA7A","15",74409289,74433958
"LRRC18","10",48909480,48939840
"MTND4P19","10",94774156,94774633
"CCER1","12",90905622,90955176
"TACC1P1","10",37523011,37544701
"MTND1P18","10",37600796,37601368
"HLA-Z","6",32896416,32896490
"","6",47729827,47740741
"","12",71674204,71698968
"RPL27AP7","6",47752828,47753240
"","6",48069213,48111078
"HNRNPA3P4","6",48149203,48150005
"PNLIPRP1","10",116590385,116609175
"RBMXP1","6",48213604,48214794
"MYB-AS1","6",135195083,135195995
"","X",123183540,123183951
"KRT1","12",52674736,52680407
"MIR548A2","6",135239160,135239256
"","X",25819184,25893544
"","6",135474504,135474609
"","6",87720915,87721018
"","6",87826173,87826285
"","X",106008150,106009695
"RN7SL183P","6",87845650,87845947
"","6",87891424,87891869
"","6",88047056,88047729
"SPACA1","6",88047841,88066838
"","X",5149581,5151795
"","X",95290239,95346106
"","X",52193292,52193974
"","X",153077685,153092448
"","X",12892127,12897074
"RDH13","HSCHR19LRC_PGF1_CTG3_1",947106,965999
"HCCS-DT","X",10847543,11111284
"CHST11","12",104455295,104762014
"","6",88172261,88175762
"CTSZ","20",58985686,59008238
"","6",88265158,88265511
"ACTBP8","6",88275882,88276989
"","6",88714242,88714430
"AP3S1P1","6",24750671,24751625
"","HSCHR19LRC_PGF1_CTG3_1",238933,239035
"TFPT","HSCHR19LRC_PGF1_CTG3_1",81433,90168
"DCHS2","HSCHR4_12_CTG12",159371,419428
"RNU6-502P","6",26519351,26519458
"","6",26569324,26574698
"H2BC16P","6",27864062,27864401
"H2AC16","6",27865317,27865798
"TRD-AS1","14",22197446,22484462
"H1-5","6",27866792,27867588
"PCDHGB6","5",141408021,141512975
"H3C11","6",27871845,27872346
"H4C13","6",27873148,27873534
"C1GALT1P1","12",69284397,69285485
"H3C12","6",27890315,27893106
"PRPF31","HSCHR19LRC_PGF1_CTG3_1",89903,106263
"","12",101923410,101924719
"H2AC17","6",27892699,27893185
"NTAN1P3","12",67424272,67424986
"H2BC17","6",27893425,27893891
"RPL21P104","12",61775923,61776400
"RNU7-26P","6",27897504,27897566
"OR2B2","6",27911185,27912396
"TPH2","12",71938845,72186618
"ETF1P1","6",30031713,30033003
"","6",30035916,30035983
"","6",30058115,30058190
"","6",30061080,30061183
"MCTP1","5",94703690,95285094
"PPP1R11","6",30066709,30070333
"RNA5SP384","14",49552633,49552748
"RPL32P29","14",49577392,49577794
"RN7SL1","14",49586580,49586878
"","X",10900890,10929484
"","14",49592236,49592337
"RHOQP1","14",49599994,49600572
"","14",49601011,49601124
"","X",102141544,102143976
"MGAT2","14",49620799,49623481
"DNAAF2","14",49625174,49635244
"MIR6881","15",74411357,74411432
"","15",74429445,74431449
"","15",74490959,74491028
"MIR4714","15",98784426,98784502
"","15",98880659,98893535
"","X",28659519,28666339
"GP6","HSCHR19LRC_PGF1_CTG3_1",916487,941046
"","12",98317741,98318349
"LINC02968","X",1657735,1763312
"SYNM","15",99098217,99135593
"","12",71582293,71583852
"RPSAP12","12",68552995,68553882
"EIF4A1P4","12",53153272,53154484
"","12",81545326,81546450
"","12",79823778,79825496
"RPL7P42","12",68684595,68686308
"","14",49629291,49629890
"BCL2L2-PABPN1","14",23306833,23326175
"","12",75649195,75691937
"","12",69353493,69354225
"","12",71709171,71710374
"LINC02426","12",81953719,81993136
"","X",154342285,154343283
"","X",154342510,154343086
"SUCLG2P2","12",94548241,94549536
"RHOXF1-AS1","X",120036236,120146855
"","12",101936216,101936674
"","14",106228735,106229454
"","4",2295584,2319089
"AK6P1","12",34249481,34249958
"","12",81868368,81869046
"","14",60879714,60982585
"RN7SL589P","4",2316197,2316506
"PSPC1","13",19674752,19783019
"SPICP5","4",2324467,2325082
"","6",30132805,30132966
"KRT8P19","12",61879318,61880772
"SRMP2","14",60919240,60920155
"","4",2463797,2464124
"","HSCHR4_1_CTG9",490947,500760
"ADAM24P","8",17469518,17471618
"TRIM10","6",30151943,30161211
"","4",2505081,2506279
"KRT77","12",52689626,52703524
"","8",17498647,17499238
"","X",142264062,142270320
"","14",60972272,60972466
"","8",17498737,17499157
"RNU6-398P","14",60974327,60974435
"","X",15854902,15856418
"PMPCAP1","4",92182477,92184052
"TMEM30B","14",61277370,61281761
"SLC7A2-IT1","8",17500012,17500605
"","4",92183235,92265316
"","X",15853816,15854112
"","8",17510613,17511300
"OR7A5","19",14826241,14835185
"","HSCHR4_12_CTG12",163609,165227
"","4",92260367,92260751
"","X",120143577,120145500
"","8",17596312,17596378
"","HSCHR4_1_CTG9",390014,390746
"","8",17604667,17610269
"SPOPLP3","HSCHR4_1_CTG9",459904,460459
"","HSCHR4_12_CTG12",189364,189822
"CGB2","19",49031890,49033238
"KRT8P3","8",61578220,61579668
"","HSCHR4_1_CTG9",561028,564552
"KIR2DL4","HSCHR19LRC_PGF1_CTG3_1",707933,718882
"NKAPP1","X",120178488,120245284
"GRID2","4",92303966,93810157
"","HSCHR4_12_CTG12",301515,301976
"RN7SKP97","8",61631680,61632012
"MIR4470","8",61714788,61714859
"RNU6-835P","14",87996345,87996448
"UGT2A3","HSCHR4_1_CTG9",504482,527810
"","14",23394814,23396281
"NEK2P1","14",18889084,18890424
"B3GLCT","13",31199975,31332276
"NF1P7","14",18899942,18909673
"RIMS2","8",103500610,104254430
"","19",38683873,38693606
"SYNM-AS2","15",99128832,99131806
"TTC23-AS1","15",99139317,99145370
"","15",99157231,99161140
"CAPN12","19",38730187,38769904
"","X",154762332,154763343
"HSP90B2P","15",99257632,99260015
"","X",130110659,130170550
"HNRNPA1P62","15",99284625,99285576
"","15",62257952,62261415
"POTEM","14",18967434,19003752
"","X",21844911,21856205
"","15",62263244,62266284
"","X",39383632,39387017
"","15",62274163,62278365
"","X",33726048,34380499
"PPFIA2-AS1","12",81270669,81312422
"WHAMMP3","15",22664359,22681605
"UGT2B27P","HSCHR4_1_CTG9",580875,586022
"","15",22690454,22691158
"","15",22714939,22715225
"PDCD6IPP1","15",22727104,22744699
"SPOPLP2","HSCHR4_1_CTG9",572954,573728
"","HSCHR4_1_CTG9",476670,476929
"","15",22756172,22756729
"UGT2B29P","HSCHR4_1_CTG9",203127,205295
"","15",22773097,22776199
"UGT2B10","HSCHR4_1_CTG9",392012,407215
"","X",48071209,48078723
"","X",44670162,44698517
"","X",153164162,153164875
"","15",77901661,77904361
"PAIP1P1","6",30186798,30188614
"","X",39653211,39679337
"","6",32098176,32117610
"","15",77914217,77915926
"","6",32108406,32112849
"TMLHE-AS1","X",155457738,155611616
"","6",32152802,32154365
"","15",78280950,78282190
"","HSCHR4_1_CTG9",280947,288841
"","15",78290527,78291221
"SPRYD7","13",49912702,49936490
"","HSCHR4_1_CTG9",549018,552012
"","15",78293286,78296049
"","15",78299701,78299924
"","15",62227896,62243180
"UGT2B15","HSCHR4_1_CTG9",222964,246983
"PPT2-EGFL8","6",32153845,32171978
"","15",62245707,62248795
"MTND1P19","4",92702345,92702659
"RACK1P3","4",92821986,92822918
"","4",92884663,92885107
"CTSO","HSCHR4_1_CTG12",88741,118534
"","4",93318623,93319786
"THAP7","22",20999104,21002196
"RNA5SP164","4",93820171,93820280
"ATOH1","4",93828753,93830964
"SMARCAD1-DT","4",94117792,94207556
"","HSCHR4_1_CTG9",360644,363500
"","X",155334858,155382951
"","12",93945041,93947813
"RPL21P98","12",76660405,76660884
"","HSCHR4_1_CTG9",410232,410387
"HMGB3P15","4",94195940,94196513
"RNU6-1239P","14",18978847,18978953
"RPL23AP68","12",87169985,87170429
"MT2P1","HSCHR4_1_CTG9",69969,70151
"CHD2","15",92886203,93027996
"","4",94315486,94343041
"","14",19072333,19075341
"","14",19124807,19175530
"RPL35AP11","4",94369833,94370163
"PCNPP1","12",111669852,111670362
"","X",155348743,155351137
"","HSCHR4_1_CTG9",477027,483002
"","4",41608312,41612411
"TMPRSS11E","HSCHR4_1_CTG9",141140,191291
"","X",104668683,104670376
"","12",68828118,68828553
"OR5M14P","4",41722538,41723512
"NBEAP5","14",19130636,19155089
"KIR3DL1","HSCHR19LRC_PGF1_CTG3_1",720829,735146
"","X",18353738,18358886
"GGTA2P","12",67265842,67266966
"","X",154343320,154344112
"","X",68865251,68868540
"MAP1LC3B2","12",116548105,116576606
"PHOX2B","4",41744082,41748725
"","14",19131842,19132890
"GPR50-AS1","X",151175175,151177836
"OR11H13P","14",19180291,19181269
"","19",38738284,38739863
"LGALS7B","19",38789200,38791754
"","X",151181612,151182856
"","14",19199763,19200279
"","14",19220796,19220912
"","12",96386818,96387194
"","HSCHR4_1_CTG12",1312,30896
"CDRT15P13","14",19228898,19229945
"MAGEA4-AS1","X",151904425,151919584
"NBEAP6","14",19244904,19269380
"SZRD1P1","12",68805011,68805479
"SNRPGP18","12",116169045,116169258
"","12",89027757,89028522
"RNU1-49P","4",41771945,41772103
"HMGB1P28","4",41842154,41843950
"","14",19244962,19247673
"","12",106867177,106871505
"TDO2","HSCHR4_1_CTG12",19361,85029
"TOMM40P1","14",19267115,19268164
"RNU6-140P","19",38797002,38797109
"","12",115263170,115270596
"RPS15P9","19",1307401,1307719
"MIR151B","14",100109419,100109514
"","12",41911256,41912212
"MIR342","14",100109655,100109753
"","14",100263781,100265405
"","4",41924180,41924380
"MIR6764","14",100277357,100277417
"","14",100279959,100291456
"","19",1321225,1322846
"","12",85567878,85568239
"","19",1372238,1374364
"","19",1376773,1377520
"DCAF4L1","4",41981756,41986465
"SLC25A29","14",100291116,100306547
"","12",114768674,114771851
"","12",81998632,81998962
"","12",94140077,94141337
"","4",41988741,41989237
"ATP1B1P1","4",42029209,42030123
"MIR6721","6",32170030,32170116
"CCDC38","12",95867048,95942635
"MIR6833","6",32179816,32179876
"BRD4","19",15235519,15332545
"","6",32184733,32185882
"BEND4","4",42110853,42152878
"PBX2","6",32184733,32190202
"RASD2","22",35539796,35554003
"","HSCHR4_1_CTG9",437351,437629
"","HSCHR4_1_CTG9",483937,484053
"","HSCHR4_1_CTG9",453645,456150
"YTHDC1","HSCHR4_1_CTG9",4029,43731
"ITGBL1","13",101452593,101720856
"RPS7P7","4",42471810,42472380
"HAO1","20",7882985,7940520
"CCNL2P1","4",42561457,42562425
"","4",42706107,42707335
"RN7SKP82","4",42892396,42892618
"GRXCR1","4",42892713,43030658
"RPL5P27","10",116749905,116751261
"RNU6-1266P","10",77776951,77777055
"IMPDH1P5","10",77780337,77781876
"","X",145504283,145507618
"RN7SL284P","10",77912271,77912545
"H2AZP5","10",77953495,77953876
"","10",77966173,77966440
"","X",150013388,150028820
"","4",43133867,43234956
"GNAI2P2","10",78068623,78069538
"","11",89297717,89298199
"","10",78176928,78178186
"UBTFL10","11",89700764,89701325
"","4",43340875,43345600
"","10",94577439,94611238
"FGF3","11",69809968,69819416
"","4",43388157,43388437
"NUTM2B","10",79703227,79714681
"","4",43410041,43410937
"LINC02383","4",43457527,43492543
"","X",107677119,107678014
"","4",43586328,43588097
"","X",129632115,129651993
"RN7SL691P","4",43598544,43598844
"RPS19BP1","22",39529088,39532767
"HNRNPA1P2","6",32325219,32326178
"RNU6-603P","6",32352877,32352983
"ANKRD33BP7","11",89785945,89787838
"RPL7P4","6",30696806,30697535
"CCSER1","4",90127394,91605295
"","6",30736304,30736414
"","10",98414002,98446920
"TRIM53BP","11",89841997,89850970
"RN7SL353P","6",30751038,30751289
"","12",100852331,100859262
"TUBB2B","6",3223324,3231730
"FRMPD3-AS1","X",107493619,107547780
"","12",106170004,106172437
"ATP9A","20",51596514,51768390
"PIGAP1","12",100578744,100580197
"RNU6-1090P","10",116538183,116538276
"","12",71587642,71594404
"","X",129631858,129636259
"","11",79191558,79193160
"PNLIP","10",116545931,116567855
"LINC00615","12",90918023,90948669
"","X",38221044,38223680
"","11",90731110,90731723
"","11",90110638,90112022
"","12",84448625,84449878
"DANT2","X",115694493,115969214
"","11",90223153,90226538
"","11",75069243,75096964
"RPL21P106","12",92168400,92168877
"","11",73640479,73641037
"SLC22A23","6",3268962,3457050
"","12",98420448,98423721
"LINC02758","11",28679183,28683469
"SNX5P2","12",101066734,101069232
"","11",93991346,93991429
"","11",91093875,91094260
"LINC02392","12",90280894,90300974
"MTND4LP18","11",81552226,81552516
"","11",91208838,91209590
"","8",78605952,78609705
"","11",73510658,73510820
"C4orf46P3","8",78723796,78724136
"","14",100291117,100294656
"","11",68612899,68616711
"THAP12P7","8",78760142,78762431
"LINC02605","8",78835307,78840525
"MIR345","14",100307859,100307956
"RN7SL523P","14",100319073,100319370
"HAUS8P1","12",114097682,114098223
"CDC42P3","8",142995850,142996482
"SLC25A47","14",100323339,100330421
"","11",89731017,89734782
"","12",87746567,87746683
"AK3P2","8",143057060,143057816
"H3P34","11",89498748,89499198
"","12",116174502,116181295
"TRIM77","11",89710299,89717872
"","8",143065915,143066587
"ALG10","12",34022468,34029694
"LY6H","8",143157914,143160711
"","HSCHR4_1_CTG6",139652,151478
"","11",89300709,89301477
"HSD17B3","9",96235306,96302176
"MICALL1","22",37905657,37942822
"TUBAP2","11",90282560,90284172
"","11",89576913,89577652
"","11",89753982,89754953
"PNLIPP1","10",116577308,116583317
"COX6A1P4","11",80957317,80957634
"PNLIPRP2","10",116620953,116645143
"","11",90125658,90126061
"CBX3P7","11",89293745,89294246
"MTMR12P1","11",101208905,101209450
"","11",89548130,89548795
"DANT1","X",115840798,115908066
"","11",79604967,79612300
"RSF1-IT2","11",77717712,77718411
"WARS1-AS1","14",100333790,100354061
"","11",89704164,89704658
"HPRT1P3","11",93998643,93999218
"","14",100339832,100340554
"","14",100366628,100366920
"","11",90972316,90972521
"DDI1","11",104036640,104039196
"SERPINA2","14",94364316,94366698
"","11",94874052,94925521
"","4",110619749,110620545
"SCART1","10",133453928,133523558
"YY1","14",100238298,100282788
"TRIM75","4",165053866,165060554
"TYR","11",89177875,89295759
"","4",1027678,1028972
"","X",149363214,149436309
"","12",96422326,96485442
"","4",1100016,1101558
"","12",59719698,59719944
"","12",95885169,95885797
"","4",1118884,1119013
"SPON2-AS1","4",1167778,1168174
"CTBP1-AS","4",1210120,1218591
"","X",147279481,147363006
"PLXNC1","12",94148577,94307675
"","4",2607870,2608146
"","4",2615124,2615224
"","4",2859983,2862673
"","4",3633029,3633975
"LINC02600","4",3758748,3763390
"","X",149435830,149461688
"","X",115968790,115982041
"ADRA2C","4",3766348,3768526
"","X",28376458,28425667
"","4",3910283,3910604
"","8",143247110,143276403
"","X",68828225,68828844
"","X",87723928,87728735
"LIPJ","10",88586753,88606976
"SMIM43","4",121758881,121765427
"","8",102858046,102863860
"SLC25A5-AS1","X",119465986,119469783
"DUSP4","8",29333064,29350684
"","X",48021824,48027415
"OSBPL9P2","11",91114724,91115951
"","X",84717592,84838747
"","11",106465985,106469296
"","11",107642887,107643871
"HNF4A","20",44355699,44432845
"","X",84714023,84751771
"ZNF674-AS1","X",46545438,46564575
"MMP8","11",102711796,102727050
"NKX2-3","10",99532942,99536524
"HOMEZ","14",23272422,23299796
"HEY1","8",79762371,79767857
"","10",99651595,99732112
"EBAG9P1","10",99697407,99697949
"NANOGP6","10",99788564,99789410
"","10",60081741,60081854
"ARL4AP1","10",60684505,60685209
"ANK3-DT","10",60734342,60741828
"RNU2-72P","10",60912765,60912927
"","14",56305838,56306394
"NKX6-2","10",132783179,132786147
"PELI2","14",56117814,56301524
"KIR2DS4","HSCHR19LRC_PGF1_CTG3_1",737079,752960
"","X",15940557,15948182
"","X",53440432,53502744
"","X",25019930,25138510
"N4BP2L2","13",32432417,32538885
"","HSCHR4_2_CTG12",51257,93824
"MUC20-OT1","HSCHR3_4_CTG3",56080,137982
"","X",25017278,25021468
"KIR3DL2","HSCHR19LRC_PGF1_CTG3_1",754833,771590
"CFAP46","10",132808392,132942823
"","5",149940030,149940131
"ATP6V1G1P6","5",78222184,78222517
"CD99P1","X",2608406,2666596
"","14",69804203,69804331
"","5",78307503,78307914
"RPL7AP6","14",69885340,69886140
"RNU4-64P","4",186026456,186026586
"","14",70234495,70235095
"RNU6-183P","5",78314916,78315025
"","4",186130021,186130155
"","14",18333726,18341859
"","5",78317036,78317137
"","4",71300258,71301235
"GDF9","5",132861181,132866884
"ZFAND2AP2","14",31964560,31964714
"LDHAL6EP","4",71434405,71437924
"","14",31964550,31965095
"H3P37","14",23294604,23295798
"RNA5SP163","4",71759518,71759616
"SERPINA13P","14",94641318,94646720
"CXXC4","4",104468308,104494901
"","19",13152252,13152913
"SERPINA13P","14",94640725,94646994
"MAD2L1-DT","HSCHR4_4_CTG12",1292,1694
"RPL12P42","19",13157959,13158788
"OR4K16P","14",19956600,19957568
"ZDHHC11","5",795605,858973
"OR11H5P","14",20209273,20210198
"DPPA3P2","14",36371412,36371889
"ADAM20P1","14",70468881,70471206
"","11",89545128,89545744
"BISPR","19",17405686,17419324
"ANKRD37","4",185396021,185400628
"","9",96235331,96352058
"NAALAD2","11",90131515,90192894
"ADAM20P1","14",70453541,70483775
"ADAM6","14",105970168,105971166
"","14",20437982,20441268
"RNU6-1160P","9",96256216,96256319
"DHRS4L1","14",24036501,24050968
"ZNF367","9",96385941,96418370
"MED15P1","14",18912805,18916642
"RBX1","22",40951277,40973539
"BMS1P17","14",19316114,19316773
"","4",185415973,185416086
"","14",68794739,68795250
"OR4K3","14",19868197,19869143
"OR4K5","14",19920607,19921578
"CCDC110","4",185445182,185471752
"","14",23293852,23295726
"IL25","14",23372809,23376403
"NSA2P7","9",96407284,96407797
"","9",96416724,96417377
"SPATA31C1","9",87914488,87923657
"","14",91554410,91554503
"RNU4ATAC15P","9",33174170,33174295
"","14",91572444,91575271
"SPINK4","9",33218365,33248567
"CATSPERB","14",91580696,91780707
"PCDHB2","5",141094606,141098703
"BAG1","9",33247820,33264720
"DUX4L9","HSCHR4_6_CTG12",358938,360196
"","HSCHR4_6_CTG12",37434,38043
"","6",3311662,3313650
"PCDHB3","5",141100473,141103827
"TUBB7P","HSCHR4_6_CTG12",320054,322402
"NUP50P4","6",74849077,74850484
"HMGB1P39","6",75319101,75319980
"","6",75454944,75458900
"","6",75398860,75399067
"","HSCHR4_6_CTG12",311130,311378
"","5",141118680,141120765
"MIR4463","6",75428407,75428473
"UBE2V1P15","6",75465123,75465570
"FRG2","HSCHR4_6_CTG12",361882,364788
"PCDHB4","5",141121818,141125623
"RNU1-34P","6",75473738,75473894
"SCUBE3-AS1","6",35220370,35224630
"RPS3A","HSCHR4_2_CTG8_1",36355,41373
"","6",35279177,35279819
"MIR7111","6",35470508,35470579
"PCDHB5","5",141135206,141138615
"TEAD3","6",35473597,35497079
"UBE2L3","22",21549447,21624034
"","19",17414257,17422324
"PCDHB6","5",141150057,141153287
"","19",17417031,17418288
"","HSCHR19LRC_PGF1_CTG3_1",773314,773420
"","19",17419305,17419774
"FCAR","HSCHR19LRC_PGF1_CTG3_1",778610,795778
"TMEM221","19",17435509,17448668
"","5",141168231,141168893
"PCDHB7","5",141172644,141176383
"","12",42069935,42070625
"C12orf75-AS1","12",105304867,105327017
"SNORD73B","HSCHR4_2_CTG8_1",38788,38859
"","12",115299588,115300708
"SH3D19","HSCHR4_2_CTG8_1",39482,262336
"PCDHB16","5",141182387,141186226
"DYNLL1P4","12",113789542,113789807
"","5",141182409,141188582
"","12",68841288,68843237
"RPL7P43","12",76721534,76722286
"","19",17436611,17460804
"","12",42979254,42996486
"PCDHB9","5",141187127,141191541
"","12",101696002,101696450
"","19",17452211,17452969
"","12",101038420,101039094
"FRG1-DT","HSCHR4_6_CTG12",113889,277801
"NXNL1","19",17455425,17460926
"GLULP5","12",114104542,114105931
"TM7SF3-AS1","12",26971586,26979582
"PCDHB10","5",141192353,141195647
"FUT5","19",5865826,5870540
"PCDHB11","5",141199610,141203779
"RIC8B","12",106774621,106889316
"","HSCHR4_6_CTG12",375447,375930
"","HSCHR4_6_CTG12",317433,318138
"RNA5SP462","19",453134,453245
"","19",3672582,3674295
"FRG1","HSCHR4_6_CTG12",278318,300735
"SNORD73A","HSCHR4_2_CTG8_1",40558,40622
"","19",15383202,15383832
"","HSCHR4_2_CTG8_1",76722,77834
"","HSCHR4_2_CTG8_1",196234,199580
"RPL32P37","19",6072823,6073527
"","HSCHR4_2_CTG8_1",215761,215923
"DEFA5","8",7055304,7056739
"RNU6-1282P","HSCHR4_2_CTG8_1",237249,237344
"","HSCHR4_2_CTG8_1",270506,289955
"PRSS48","HSCHR4_2_CTG8_1",213892,228593
"PCDHB12","5",141208697,141212571
"","19",6176256,6176442
"","19",6263068,6263469
"VPS51P14","8",7082971,7083328
"ACER1","19",6306142,6333612
"PCDHB13","5",141213919,141218979
"","8",7092102,7092320
"PRR13P7","8",91909738,91910167
"MRPS16P1","8",91917507,91917918
"","8",92144088,92144435
"PCDHB14","5",141223343,141227759
"OPRK1","8",53225724,53251637
"","5",141223372,141245861
"MGAT3","22",39447127,39492194
"PCDHB15","5",141245395,141249365
"POLR3GP1","14",91603173,91603433
"NANOGP7","14",91604402,91605319
"","5",141259235,141261364
"","19",6386762,6390400
"TAF7","5",141259884,141320784
"MIR6885","19",6389638,6389703
"","14",50736300,50737517
"MIR6790","19",6392921,6392983
"MIR3940","19",6416410,6416511
"SLC25A41","19",6426037,6433779
"LRRC9","14",59919713,60066817
"SLC25A2","5",141302635,141304049
"","5",137761546,137761936
"RNA5SP308","10",28874393,28874507
"RPL21P93","10",28898996,28899484
"SORBS2-AS1","4",185587909,185594003
"PKD2L2","5",137887968,137942747
"","4",185665885,185675417
"FRMD4A","10",13643706,14462142
"","4",185709873,185709967
"","4",185756929,185757048
"FBXO7","22",32474676,32498831
"MIR1973","4",116299725,116299768
"TRMT112P1","4",116378919,116379269
"LINC01596","HSCHR4_6_CTG12",219023,222371
"CUL4AP1","4",116425983,116430892
"RNU1-51P","HSCHR4_6_CTG12",43092,43267
"","HSCHR4_6_CTG12",355227,355345
"FRG1-DT","HSCHR4_3_CTG12",113889,232669
"","HSCHR4_6_CTG12",352669,352786
"","4",37699895,37700002
"RPL21P45","4",37821361,37821838
"","4",37866561,37867091
"","4",37868292,37869978
"LINC01596","HSCHR4_3_CTG12",218541,221894
"PSME2P4","4",37995494,37996203
"","HSCHR4_3_CTG12",37434,38043
"MRPS33P2","4",38006784,38007105
"","9",33352788,33352874
"MYC","8",127735434,127742951
"","19",15398696,15400356
"RNU1-51P","HSCHR4_3_CTG12",43092,43267
"","19",13772118,13774118
"PTTG2","4",37960398,37961128
"TULP1","6",35497874,35512896
"ADGRD2","9",124450451,124478589
"","4",26702309,26702388
"ACSBG2","19",6135247,6193094
"STIM2","4",26857601,27025381
"","HSCHR3_4_CTG3",138117,140479
"MUC20","HSCHR3_4_CTG3",54921,75162
"DNAJC3","13",95677114,95794988
"","11",89820082,89826922
"","11",91382909,91383289
"MMP27","11",102691487,102705769
"MUC4","HSCHR3_4_CTG3",3235,49270
"ICE2P1","HSCHR4_5_CTG12",46049,48244
"LINC01060","HSCHR4_5_CTG12",59314,202137
"MIR1204","8",127795962,127796028
"SLC25A32","8",103398635,103415189
"","11",35972428,35989007
"ASS1P13","11",107176286,107177530
"ODF2","9",128455186,128501292
"ARHGAP42","11",100687288,100993941
"","12",100525186,100525420
"","12",113932569,113937255
"RPL7AP27","HSCHR4_5_CTG12",7954,8602
"","12",101408372,101409060
"CYCSP30","12",87750142,87750313
"","12",59812102,59812576
"HSPE1P4","12",101873316,101873623
"","14",36180939,36181654
"RN7SKP21","14",36231555,36231774
"MON2-AS1","12",62482349,62484932
"DEGS2","14",100143957,100159645
"RPL13AP21","12",46004038,46004685
"SNRPCP2","5",76376675,76377149
"","12",93640822,93641586
"","5",76510440,76510766
"EOLA2-DT","X",149938613,150224580
"","5",76606608,76608970
"F2RL2","5",76615482,76623413
"EIF5","14",103333544,103345025
"CFAP54","12",96489571,96875555
"NUTF2P5","10",13870797,13871175
"FRMD4A-AS2","10",13991815,14007526
"","10",14372001,14377586
"","5",76691439,76716215
"MIR4293","10",14383200,14383277
"","10",14391875,14392196
"STATH","HSCHR4_9_CTG12",36102,42706
"","5",76712195,76712327
"MIR1265","10",14436576,14436661
"UBOX5","20",3107573,3160196
"","10",58106423,58106879
"","5",76712763,76712861
"TPT1P10","10",58212541,58213036
"F2R","5",76716126,76735770
"","10",58304553,58305621
"NCR1","HSCHR19LRC_PGF1_CTG3_1",810507,820490
"","10",58325614,58327030
"RNU105C","8",54330687,54330895
"PRPF38AP1","10",8161260,8162192
"","8",54354168,54355118
"MARK2P15","10",83311628,83314475
"","8",54381698,54394870
"RN7SL250P","8",54420468,54420725
"SOX17","8",54457935,54460892
"CCDC7","10",32446140,32882874
"F2RL1","5",76818933,76835315
"","8",54467208,54470609
"TRMT112P7","8",54479597,54479963
"RN7SL208P","5",76836900,76837195
"RP1","8",54509422,54871720
"","5",172779982,172780094
"MIF","22",23894372,23895227
"","5",172785262,172785424
"","5",172954907,172957162
"","5",172975511,172976374
"LINC01596","HSCHR4_7_CTG12",530244,533597
"","5",172986680,172987198
"LINC01262","HSCHR4_7_CTG12",307217,309097
"SNORA74B","5",173020728,173020928
"","5",173052452,173052555
"CDC42P5","5",173085342,173086210
"","HSCHR4_7_CTG12",352610,353219
"FRG1-DT","HSCHR4_7_CTG12",429065,544372
"","5",173144162,173145039
